Date,nps,Comments,nps_scaled
2023-02-27,2,"De acuerdo a la página, mi cambio de vuelo costaba $250. Sin ningún tipo de explicación al llegar al final esto subió a $600",1
2023-02-27,8,no grabo la direccion de alojamiento,4
2023-02-27,0,"Pague con HSBC viva plus y al hacer cambio de itinerario me cobraron los asientos de cortesía, ¿Cómo puede ser posible sí son beneficios de la tarjeta?",0
2023-02-27,8,"NO SIENTO TAN GACHOS Y DEJANDO A LOS NIÑOS MENORES CON SUS PAPAS, COBRAN POR TODO",4
2023-02-27,4,La pagina marco error cada vez que quise quitar el asiento para continuar y confirmar mi cambio por lo que me forzó a pagar el asiento y en call center me querían cobrar mas de mil pesos por el cambio,2
2023-02-27,0,manetener los precios que aparecen en la pagina,0
2023-02-27,8,Tuve que intentar cuatro veces antes de poder realizar el pago.,4
2023-02-27,5,"no me parece que aunque este haciendo cambio de vuelo me obliguen a pagar un asiento con valor adicional, o sea cobrar el cambio que en teoria era gratuito disfrazado del cobro del asiento. fuera de ese ""error"" lo demas esta muy bien",2
2023-02-27,8,no permite forma de pago y tarda mucho en responder,4
2023-02-27,0,NADA,0
2023-02-27,0,porqueria deservicio,0
2023-02-27,8,problemas con la tarjeta,4
2023-02-27,5,Terrible. Samuel Manzanares me atendio por telefono y mintio. NO SE VALE,2
2023-02-27,6,No cambiando o precios entre las busquedas.,3
2023-02-26,7,se traba mucho,4
2023-02-26,2,"manteniendo los precios de cambio de vuelo , no levandolos",1
2023-02-26,0,"No se puede hacer cambio de nombre y fecha en la misma operación, nada amigable en ese sentido",0
2023-02-26,8,Poder cerrar la sesion de reserva sin tener que accesar con cuenta.,4
2023-02-26,5,"la pagina siempre me agrega cosas sin mi consentimiento, en el call center me dan vueltas para quirtar los cargos adicionales, me dificultaron el check in en linea varias veces",2
2023-02-26,6,"La pagina falla mucho, es muy dificil hacer cambios en los vuelos",3
2023-02-26,8,si,4
2023-02-26,8,Bien hecho,4
2023-02-26,5,"La información no es clara, realicé un cambio de vuelo y parece que volví a pago por escoger asiento en el vuelo origina tenía Espacio+ y volvía a pagar otra vez por el mismo asiento en el nuevo vuelo.",2
2023-02-26,6,"Compre el seguro de reembolso y cuando hable para que me reembosaran me solicitaba un diagnostico medico que en el momento no lo tenia , tarde mucho es un robo",3
2023-02-25,3,SS,2
2023-02-25,5,pongan el precio completo,2
2023-02-25,6,"No entiendo si no hay diferencia de tarifa aparente al final que es lo que se cobra, no aparece realmente el concepto",3
2023-02-25,6,Be more specific.,3
2023-02-25,5,"al momeot de efectuar mi cambio me cotizo una diferencia de tarifa de 398.00mxn y al final pague 700.00mxn , porque cambio mucho la diferencia a pagar?",2
2023-02-25,8,ES COMPLICADA,4
2023-02-25,2,DEJAR DE ROBARNOS TANTO CON DIS QUE PROMOCIONES DONDE UNO TERMINA PAGANDO MAS DE LO QUE NO ES,1
2023-02-25,0,Include the TUA in the final cost cheapskates.,0
2023-02-25,0,me forzó a pagar por el asiento,0
2023-02-25,7,Bloqueando el sistema si no tienes seleccionado tu asiento,4
2023-02-25,8,trabajar mas,4
2023-02-25,8,cobra equipaje de mas,4
2023-02-25,0,No funciona bien l apagina,0
2023-02-25,8,"el proceso de pago cuando se hace el cambio es algo confuso, tuve varios ""errores"" con el sistema y al final que se hizo el cambio no me ha reflejado el cobro, confío en que se completó la compra de forma correcta.",4
2023-02-25,2,cambiando algunas politicas con su personal porque muchas veces son personas que no tienen sentido comun como cuando compro equipaje extra en el carrie on y no quieren dejar subir mi maleta o cuando c les pide q si c puede documentar afuera en mostradores dicen que no y en sala a fuerza la quieren mandar abajo presten atencion a eso por favor y entrenen mejor a su personal xq hacen ver mal a la aerolinea,1
2023-02-25,0,"No lo recomiendo porque aunque uno haga pagos previos al check in, no los consideran. Tuve que pagar dos veces los asientos, y en el momento de hacer el check in cuesta casi el doble el asiento. 

Además, la plataforma es confusa y está diseñada para que uno incluya servicios que tienen costo adicional y que no son necesarios.",0
2023-02-24,8,Se puede mejorar al no sacarte de la aplicación cuando intentas pagar.,4
2023-02-24,6,"TUVE QUE DUPLICAR PAGO, POR QUE NO ME DIERON INMEDIATAMENTE EL PAGO TUA GCS",3
2023-02-24,4,"Son muchos precios ocultos, parecen muy buenas las opciones, precios muy accesibles,  pero al final de cuentas uno viene pagando más que otras aerolíneas.",2
2023-02-24,0,NO ME PASA MI TARJETA PARA PAGAR Y ME DESAPARECIO MI RESERVA,0
2023-02-24,4,"hace dias compre otro vuelo a un amigo y me rechazo el pago dias lo intente mas de 10 veces y rechzaba el pago hasta no se que intento me dejo ghacerlo, y en todos los intentos hacer todo el procedimiento de escoger vuelos correo nombre fecha",2
2023-02-24,0,no,0
2023-02-24,3,x,2
2023-02-24,5,Muy caro algunas cosas :(,2
2023-02-24,8,xxx,4
2023-02-24,0,Siendo especificos en sus politicas y cambiando sus asesores telefonicos,0
2023-02-24,4,Teniendo mas opciones al momento de agregar equipaje o kilos extras al equipaje,2
2023-02-24,8,No que los cambios eran gratis,4
2023-02-24,6,sistema lento,3
2023-02-24,0,"mejorando su atencion y servicio al cliente, realmente no me gusta su aerolinea",0
2023-02-23,0,"tiene error en selección de asiento, para no seleccionar.",0
2023-02-23,0,El cobro por hacer el cambio de nombre es demasiado alto,0
2023-02-23,8,no sobrepasarce de recargos,4
2023-02-23,3,"No me gusta que NUEVAMENTE COBRAN EL ASIENTO, siendo que ya lo había pagado antes.",2
2023-02-23,8,Hubo un error en la pagina y tuve q llamar para que lo modificaron. Via telefonica lo corrigieron.,4
2023-02-23,7,Evitando que nos pongan para tratar de comprar cosas que no queremos o no necesitamos,4
2023-02-23,8,Mejorar la interfaz y seguridad de datos personales,4
2023-02-23,5,"Muchas trabas para hacer el pago, rechazando mi forma de pago, llamé al banco pensando que era un problema de mi tarjeta y mi tarjeta no tenían ningún bloqueo, fue tema de su página.",2
2023-02-23,0,"ES UNA ESTAFA SUS CAMBIOS DE VUELO NO SON GRATIS, NO RESPETAN LO QUE PAGUE EN MI PRIMER VUELO",0
2023-02-23,8,"NO HACIENDO TANTOS CAMBIOS EN LOS VUELOS, YA QUE EN MI CASO LAS ULTIMAS DOS VECES QUE HE VIAJADO CON USTEDES ME HAN CAMBIADO EL VUELO Y OBVIAMENTE ME ADETAN EN LA PARTE LABORAL",4
2023-02-23,4,No sirve su linea telefonica,2
2023-02-23,5,No acepta todas las tarjetas de debito hsbc,2
2023-02-23,1,TENIENDO TODO EN UN TOTAL,0
2023-02-23,6,la app muy lenta,3
2023-02-23,5,especificar que los cambios de vuelo generan un costo por los asientos y la promocion de la tarjeta viva no aplica.,2
2023-02-22,7,DEMASIADOS OFRECIMIENTOS EN EL CAMINO DE RESERVAR,4
2023-02-22,0,COMO ES POSIBLE COBRAR ASIENTOS,0
2023-02-22,0,A FUERZAS TE HACE COMPRAR ASIENTO,0
2023-02-22,5,"MUY DIFICIL Y NO DAN INSTRUCCIONES CORRECTAS, NO ME DEJA COMPLETAR EL PAGO",2
2023-02-22,8,Tener menos casillas de ofertas.,4
2023-02-22,7,Porque dividen el pago?? muy mal de su parte,4
2023-02-22,8,SE TRABA MUCHO LA PAGINA,4
2023-02-22,8,UN POQUITO MAS AMIGABLE LA PAGINA PARA HACER CAMBIOS PORQUE SOLO SE PUEDE HACER EN LA PC Y NO POR EL AL DEL CELULAR,4
2023-02-22,1,Si Ofrecen CAMBIOS SIN COSTO (misma tarifa) porque cobran adicionales si contraté y pague por el servicio de hasta 3 cambios SIN COSTO,0
2023-02-22,5,Muy altos los precios para cambiar un vuelo con 2 meses de anticipación,2
2023-02-22,0,NUNCA,0
2023-02-22,7,mayor flexibilidad en los itinerarios.,4
2023-02-22,8,SER MAS SIMPLE PARA ENCONTRAR LO QUE SE NECESITA,4
2023-02-22,8,"Me hicieron pagar equipaje documentado que no necesitaba, no pude retirarlo cuando cambié mi reserva.",4
2023-02-22,1,"Demasiados cargos engañosos sobre el TUA y la selección de asientos. DE cualquier forma no creo que les interese mejorar, esto es con fines de cobrar más. Deberían conocer los conceptos de valor y lealtad",0
2023-02-22,7,el precio es alto por hacer cambio,4
2023-02-22,7,mas apoyo via telefonica,4
2023-02-22,5,FACILITAR CAMBIOSEN CONTRATIEMPOS POR EL CLIENTE,2
2023-02-22,5,COMPRÉ UNA TARIFA PERO ME EQUIVOQUÉ DE DÍA Y TUVE QUE PAGAR EXTRA POR EQUIPAJE AL CAMBIAR HACIA EL DÍA CORRECTO.,2
2023-02-22,0,ES UN ROBO SU SERVICIO,0
2023-02-22,4,",",2
2023-02-21,6,"El pago en ocasiones no lo acepta, se tiene que cambiar datos de la reserva (Teléfono y correo) Y a veces se tienen que hacer más de 3 intentos y se bloquean las tarjetas, si pudieran arreglar esto sería perfecto el servicio. Saludos",3
2023-02-21,8,Posibilidades de cancelar el viaje,4
2023-02-21,8,gracias,4
2023-02-21,6,no hacer que forzosamente uno deba pagar un asiento que no quiere.,3
2023-02-21,2,sus cargos y mentiras de 1 cambio gratis.,1
2023-02-21,8,no cambiando el horario de los vuelos,4
2023-02-21,1,El precio para una arreglo sencillo del nombre de pasajero con tiempo de anticipación,0
2023-02-21,2,"no hubo forma de NO pagar los asientos... después de un costoso cambio, no hay manera de NO comprar ADEMAS asientos. Ni en la App ni en la web ni por teléfono. Siento que es  abusivo enjaretar A FUERZAS asientos cuando a uno le da igual donde lo sienten",1
2023-02-21,3,"Deben avisarnos que si ya se hizo check-in, este se debe cancelar antes de proceder a hacer algún cambio, y nos deben permitir eliminar el check-in nosotros mismos, de lo contrario es absurdo este proceso de administrar la reservación.",2
2023-02-21,8,precios muy caros,4
2023-02-21,0,"No me dejó eliminar productos de mi carrito de compra y era imposible hacer check-in, al final los tuve que pagar, qué abuso.",0
2023-02-21,7,"EN LA RESERVA CUANDO SE REFRESCA LA PAGINA SE PIERDE Y NO ES POSIBLE VOLVER A LA RESERVA QUE LLEVABAS, ENTONCES HAY QUE EMPEZAR UNA NUEVA Y ES TEDIOSO.",4
2023-02-21,6,"cuando intenté usarlo en la aplicación del celular no pude, intente hacerlo en el navegador de mi celular y tampoco pude, hoy en día no cuento con computadora en mi domicilio puesto que no la necesito, tuve que ir a un lugar para pagar el uso de una pc y poder realizar el cambio pudiendo haberlo hecho desde mi celular",3
2023-02-21,8,SIGUIENDO COMO HASTA HORA CON ESA EFECTIVIDAD Y RAPIDES,4
2023-02-21,7,1,4
2023-02-21,7,Mejor atencion al cliente,4
2023-02-21,8,Demasiado el cobro por cambio de vuelo,4
2023-02-21,8,menos pasos,4
2023-02-21,8,no esta claro cuando queda hecho o no el chek in,4
2023-02-21,0,Me cobraron asiento porque su pagina no ome dehjaba continuar sin seleccionar uno,0
2023-02-21,8,Fue confuso el cambio y los cargos no son claros,4
2023-02-21,8,poder hacer el cambio de ruta desde la web.,4
2023-02-21,1,La forma de Pagos son muy confusas,0
2023-02-20,5,MEJORAR LOS COSTOS DE CAMBIO,2
2023-02-20,7,no deben cobrar para poder hacer el check inn,4
2023-02-20,2,"Your seating arrangement prior to seat selection assigned by 2.5 year old daughter 4 row away from me(the parent) I had to now pay for both of us $14 pesos each to rearrange for us to sit together. Since I bought the two passengers together in one transaction, your system should have placed our seating together.",1
2023-02-20,5,RESPONDER RAPIDAMENTE Y RESOLVER LOS PROBLEMAS COMO EL MALTRATO DE MALETAS Y NO INCREMENTAR PRECIOS CUANDO DAN CREDITOS ELECTRÓNICOS QUE NO APLICAN EN LA PÁGINA WEB Y SOLO EN EL CALL CENTER.,2
2023-02-20,6,DEJANDO CAMBIAR EL DESTINO Y NOMBRE,3
2023-02-20,0,Las politicas que colocan al momento de comprar el vuelo original indican que el cambio de vuelo es sin costo y la hora de ralizar el cambio no solo te cobran el cambio por la tarifa sino que oblignan a comprar un asiento.,0
2023-02-20,7,"Se requiere un sistema mas amigable y entendible, es muy confuso, y tambien notificar que al hacernos cambio de vuelo avisar que nos dejaron sin asientos, si no me meto a ver la reservacion no de daria cuenta de eso. Y peor aun el cambio de  precio que me obligo a pagar un extra de un servicio ya pactado.",4
2023-02-20,8,LOS PRECIOS Y SERVICIOS DE VENTA DE ALIMENTOS DENTRO DEL AVION  NO TODOS TENEMOS TARJETAS,4
2023-02-20,4,Dar opciones de cambio de vuelo y de destino en linea y no solo por telefono,2
2023-02-20,5,Más pagos todavia que la canción,2
2023-02-20,6,2,3
2023-02-20,0,todo,0
2023-02-20,6,NO ME DIÓ LA OPCION DE PAGAR LOS ASIENTOS DESDE QUE HICE LA COMPRA DEL PAQUETE CON HOTEL Y LAS MALETAS ESTABAN SELECCIONADAS Y AHORA ME SALIERON MAS CARAS,3
2023-02-20,0,"muy complicada, mucha propaganda, la HIM muy mala, errores en la pagina constantes.",0
2023-02-20,0,No cobrando seguros que luego no sirven de nada,0
2023-02-20,8,ASISTENTE VIRTUAL,4
2023-02-20,0,"TUVE UN ACCIDENTE Y LLEGUE TARDE A MI VUELO, ME NEGARON TODO TIPO DE AYUDA A PESAR DE HABER COMPRADO 2 VUELOS DE REGRESO PORQUE EL PRIMERO NO PERMITIA CAMBIOS. PESIMO SERVICIO AL CLIENTE.",0
2023-02-20,8,Respetando la seleccion de maletas previamente.,4
2023-02-20,5,OFRECEN HACER CAMBIOS Y LOS QUEREMOS HACER Y COMOQUIERA SALEN CON MUCHOS CARGOS EXTRA,2
2023-02-20,7,rapidez para que se vean reflejados los movimientos y cambios en las reservaciones,4
2023-02-19,8,PODER HAVER EL CAMBIO DE VUELO DIRECTO EN LA APP SMALL DEVICE,4
2023-02-19,5,Changed from English to Spanish when paying.,2
2023-02-19,0,"COMO ES POSIBLE QUE POR CAMBIAR DE NOMBRE ME VAN A COBRAR 1000 PESOS, HORRIBLE, JAMAS VOLVERE A RECOMENDAR ESTA AEROLINEA",0
2023-02-19,6,atencion a cliente,3
2023-02-19,0,"Es altísima la tarifa por cambio de cualquiera de los datos de pasajero, un robo",0
2023-02-19,0,"Ya habia pagado por una mascota que ya no voy a llevar y no dan la opción de recuperar ese dinero, ni siquiera como voucher. Me parece muy mal.",0
2023-02-19,8,HACERLO MAS AGIL,4
2023-02-18,0,Estaba por pagar mi reserva y de la nada se actualizo el precio a mas del doble !!!!,0
2023-02-18,0,"TRANSPARENCIA EN LO QUE COBRAN, SI COMPRO UN BOLETO DE UN TRANSPORTE AEREO LO MENOS QUE ESPERO ES QUE INCLUYA ASIENTO, PUES NO ME VAN A LLEVAR PARADO EN EL AVIÓN.  CUMPLAN LO QUE DICEN.",0
2023-02-18,1,no poniendo las cosas de forma que revuelvan a los usuarios,0
2023-02-18,2,"Your pricing of baggage is excessive and predatory, with increasing penalty for simple baggage that other airlines allow with no extra charge",1
2023-02-18,4,tuve problemas para poder pagar el tua y cuando hable a servicio al cliente no pudieron apoyarme ni solucionar el problema,2
2023-02-18,1,Batalle demasiado para hacer mis reservaciones,0
2023-02-17,8,It would help to have this page in English. Thank you,4
2023-02-17,8,"NO OBLIGAR A LA SELECCIÓN DE ASIENTOS, YA QUE SI SE DESEA NO SELECCIONAR ASIENTO NO PUEDES TERMINAR EL PROCESO DE CAMBIO",4
2023-02-17,7,"Cuando haces el cambio de vuelo te hace elegir forzosamente el asiento, si n. la página da error",4
2023-02-17,8,lkl,4
2023-02-17,8,Rápido y claro,4
2023-02-17,0,"la app no me dejo dejar los asientos sin seleccionar, se me cargo maleta a pesar de que tampoco lo elegi",0
2023-02-17,0,"LA ELECCION DE ASIENTO MUY MALA, TUVE QUE PAGAR CUANDO MI ELECCION FUE LA MAXIMA CATEGORIA CON OPCION DE SELECCION DE ASIENTOS.",0
2023-02-17,6,practicidad de la palicacion,3
2023-02-17,0,coma cola,0
2023-02-17,8,No aumentando los precios,4
2023-02-17,0,"Agregan servicios que no deseo como el abordaje prioritario que no pedí y no logro descubrir como quitarlo.
Además vuelven a cobrar casi el vuelo completo al momento de cambiarlo, aún cuando en el primer vuelo pagué por cambios futuros.
Prefiero Volaris que si considera esto que menciono.",0
2023-02-16,0,"Para lograr modificaciones en mi reserva, su sitio web me forzó a agregar un cargo extra por selección de asiento. De no elegirlo, no me permitiría hacer el cambio.

El mensaje de error decía:
""¡Oh, no!
Lo sentimos, algo salió mal. Por favor, intenta nuevamente o realiza tu check-in directamente en el aeropuerto.
01865bd7-5cf7-4100-8275-2fa90579f015""

Necesitaré hacer otro cambio en días posteriores y temo encontrarme con el mismo error.",0
2023-02-16,1,"no cobren otros asientos, cuando ya pague unos de mi vuelo original",0
2023-02-16,7,REDUCIR COSTOS E IMPUESTOS,4
2023-02-16,6,"no separar los impuestos del costo del vuelo, es súper confuso y problemático",3
2023-02-16,6,me cobraron un asiento feo en $300 mxn. pésimo,3
2023-02-16,8,"Puede ser algo complicado o confuso algunas secciones, quizá solo es falta de costumbre, pero es un hecho que puede ser difícil para algunos",4
2023-02-16,1,there' was no difference in flights when changing it but at the end I had to pey 43 usd.,0
2023-02-16,8,todo bien,4
2023-02-16,7,Cambian abrutamente los asientos,4
2023-02-16,0,Me hicieron el cargo la primera vez y no se modificó la reserva y por teléfono me dijeron que lo viera con mi banco.,0
2023-02-16,8,Quitar distractores,4
2023-02-16,0,"no se puede hacer pago ni cambios sin tener que estar hablando a numero de servicio al cliente, que difícil se vuelve un cambio tan sencillo o realizar un pago de un cambio, debería ser al momento no tener que hablar y hablar y esperar y esperar",0
2023-02-16,7,PORQUE PAGUE UN SEGURO Y RESULTA QUE NO APLICA PARA CAMBIAR UN NOMNBRE Y VULEVEN A COBRAR,4
2023-02-16,0,no pude cambiar mi vuelo sin tener que pagar el asiento!!!!!!!!!!!!!!!!!!!!!!!!!!,0
2023-02-16,6,demasiados cargos extras el precio que muestran al inicir la sesion son una mentira,3
2023-02-16,4,mas sencillo,2
2023-02-16,0,dejar de obligar a la selección de asientos. porque es un cobro forzoso el que hacen,0
2023-02-16,8,Tal vez reduciendo muchas opciones.,4
2023-02-16,0,no cobraando extra,0
2023-02-16,5,"MAYOR TRANSPARENCIA EN EL COSTO DE UN CAMBIO DE VUELO. ME APARECIO 100 Y AL FINAL AUMENTÓ EL IMPORTE SIN SELECCIONAR NADA EXTRA. TAMBIÉN QUE SE PUEDAN USAR LOS PUNTOS DOTTERS, DE NADA SIRVEN SI NO SE PUEDEN UTILIZAR EN UNA SIMPLE OPERACION DE CAMBIO DE VUELO.",2
2023-02-16,1,Precios muy altos para lo que es,0
2023-02-16,8,mas claridad en las opciones,4
2023-02-16,0,Teniendo precios justos y razonables para un simple cambio de apellido.,0
2023-02-15,0,Hagan desde un principio pagar el  TUA para saber el verdadero costo total.,0
2023-02-15,2,El sistema no sirve para nada. Es muy lento y no es claro. Muy confuso,1
2023-02-15,8,es demaciado confuso,4
2023-02-15,8,"El cambio de vuelo es como si comprara literalmente otro vuelo, la diferencia de precio es de menos de 500 entre un vuelo normal y un cambio",4
2023-02-15,8,HACERLO UN POCO MAS AMIGABLE YA QUE ME PERDI AL MOMENTO DE ASIGNAR ASIENTOS DEL VUELO DE REGRESO.  GRACIAS,4
2023-02-15,8,mas rapidez,4
2023-02-15,8,lo hacen bien,4
2023-02-15,0,"quitando los bloqueos para que no se cobre lo que no se debe, es injusto y tramposo",0
2023-02-15,5,sus paginas,2
2023-02-15,4,"Mi vuelo original lo compre con tarjeta HSBC Viva Plus lo cual me asigno asientos y maleta documentada gratuita, al tratar de remover los asientos me marcaba error tuve que pagar asientos y maleta documentada cuando yo no necesitava documentar, hable po rtelefono y querian cobrarme 7 mil pesos por el cambio",2
2023-02-15,8,"no me quedo claro lo de los asientos, y porque el costo",4
2023-02-15,2,PODER EN EL SISTEMA SABRE ASIGNAR LOS ASIENTOS,1
2023-02-15,8,MENOS CARGOS POR CAMBIOS,4
2023-02-15,0,hacen el pago del tua por separado cuando deben agregarlo al momento que paga uno,0
2023-02-15,0,"Es una calamidad que cobren casi hasta por respirar dentro del avion.
Sabiendo que son la unica opcion, se crean ""necesidades"" para cobrar.",0
2023-02-15,5,"tuve que entrar 3 veces el codigo de seguridad de la tarjeta para que funcciona. Las 2 primeras veces salia un error indiicando que no lo habia puesto aunque si.
Tambien, me rechazo 2 veces de la misma manera mi tarjeta amex",2
2023-02-15,4,la pagina se traba mucho,2
2023-02-15,0,Precios cambian sin razon,0
2023-02-15,2,"ESTE SISTEMA TIENE ERRORES PARA OBLIGARTE A ESCOGER ASIENTO Y QUE PAGUES MAS, ES IMPOSIBLE NO ESCOGER ASIENTE, ESTO ES FRAUDE Y ABUSO. VIVA AEROBUS ES DE LO PEOR.",1
2023-02-15,4,Ya habái seleccionado mis asintos y después salio que no y tuve que volver a comprar para seleccionarlos,2
2023-02-15,8,NO COBRANDO ASIENTOS,4
2023-02-15,1,primero dan un precio y despues otro al principio me estaban cobrando aprox 1200 por persona y ahora son casi 2500,0
2023-02-14,0,Luggage is always an issue in Mexico City. More luggage should be allowed per person,0
2023-02-14,0,"Me cobraron más caro cambiar el nombre del pasajero solo por corregir un apellido, que lo que me costó el vuelo, osea 1050 pesos solo por escribir un apellido, pésimo servicio al cliente, haré un reporte a la profeco por esta clase de abusos.",0
2023-02-14,7,no cobrar tanto em los cambio gracias,4
2023-02-14,6,Me obligaron a elegir un asiento con cargo extra,3
2023-02-14,8,"muy bien para cambio de fecha, el comentario es que al intentar cambio de destino, hacen un cobro por uso de call center (casi 1000 pesos por pasajero, obligado porque no puede hacerse desde la página), ahí me parece que la promoción de cambios gratis no se cumple",4
2023-02-14,5,No cobrando asientos,2
2023-02-14,5,No está aceptando TC,2
2023-02-14,8,NO ME DEJAN CONTINUAR CON EL CAMBIO SIN AGREGAR ALGÚN SERVICIO,4
2023-02-14,8,Me gustaría poder agregar desde aqui la asistencia y no es posible agregar o editar,4
2023-02-14,0,CAMBIAR UNA LETRA EN EL NOMBRE DE UN PASAJERO ME COSTO 1050 PESOS,0
2023-02-14,8,Lenta y engañosa la pagina,4
2023-02-14,7,PRECIOS MAS accesibles,4
2023-02-14,6,"Tiene varios errores al querer actualizar el precio, tengo que cerrar y volver a entrar para solucionarlo",3
2023-02-14,5,Pues no siempre son eficientes en su trabajo,2
2023-02-14,0,Te obligan a comprar asiento para seguir el proceso de cambio en linea.,0
2023-02-14,8,....,4
2023-02-14,1,"LA PAGINA M,ARCA ERROR Y ME OBLIGA A PAGAR EL ASIENTO",0
2023-02-14,2,Completa la reserva. En cada paso del camino recibo mensajes de que hay problemas y no puedes completar mi solicitud. ¿Cuál es el problema?,1
2023-02-14,5,que se agregue el TUA desde el inicio del pago de la reservacion,2
2023-02-14,7,The first person I contacted was not helpful and was rude. The 2nd person I contact was a lot friendlier and was able to help resolve my concerns.,4
2023-02-14,0,"Me volvieron a cobrar por asientos que ya habia reservado, pagado, hecho el check in y todavia quieren que se les recomiende. No vale madre su servicio. Ni siquiera avisaron. SON UNA BASURA",0
2023-02-13,5,"No me gusta que para todo quieren cobrar hasta para comprar el asiento se supone que una esta pagando el boleto, el asiento tiene que estar incluido ahi.",2
2023-02-13,0,no me dejaron cambiar mi vuelo sin comprar asiento,0
2023-02-13,0,"NO COMPRANDO 2 VECES EL ASIENTO, HABLE CON SU PERSONAL Y ME DIJIERON QUE ERA OBLIGATORIO PAGAR DE NUEVO EL ASIENTO.",0
2023-02-13,1,NO OBLIGANDO A LOS PASAJEROS A PAGAR POR LOS ASIENTOS,0
2023-02-13,6,no se visualizan en la reserva las maletas compradas.,3
2023-02-13,0,Es un processo pesimo. Tiene que arglar como tratan los clientes.,0
2023-02-13,0,Pesimo servicio de atención al cliente,0
2023-02-13,0,PESIMO SERVICIO Y NO RESPETAN SUS TERMINOS Y CONDICIONES,0
2023-02-13,8,atencion al cliente por telefono mas responsable.,4
2023-02-13,0,NO SIRVE SU SISTEMA,0
2023-12-02,5,PORQUE  COBRAN ALGO QUE DEBE PAGAR LA AEREOLINEA?,2
2023-12-02,8,Agilizando los trámites,4
2023-12-02,7,"ya que ya se pagó el vuelo, estaría bien que las tarifas de cambio de itinerario fueran más accesibles económicamente",4
2023-12-02,0,No pude continuar con mi compra sin elegir asiento,0
2023-12-02,8,QUE LA PAGINA NOS PERMITA INTERACTUAR MAS DE MODO QUE PODAMOS CAMBIAR DESTINOS Y PASAJEROS,4
2023-12-02,8,"Los precios, las tarifas parecen más elevadas al realizar los cambios que  comprando uno nuevo",4
2023-12-02,0,se me hace una estupides que por cambiar el nombre de un boleto cobren qur jalada,0
2023-11-02,7,"EL cambio de itinerario sale carísimo, de nada sirve pagar la flexibilidad porque los precios están super inflados",4
2023-11-02,8,el servicio de cambio de vuelo en línea no debería tener costo,4
2023-11-02,0,siemprr cobran mas de lo que dicen,0
2023-11-02,7,cargos por cambio,4
2023-11-02,8,Es sencillo,4
2023-11-02,2,"¿como es posible que te cobren por seleccionar el asiento?
es un robo!",1
2023-11-02,5,"No pongan sorpresas, ni cargos por servicios que no solicita el cliente",2
2023-11-02,8,exelente,4
2023-11-02,5,En las tarifas de cambio,2
2023-11-02,0,son unos mentirosos y unos tramposos,0
2023-11-02,3,"I already got place, but it was despaired. That's why needed to buy it by my own",2
2023-11-02,0,"ES UN COSTO EXAGERADO POR CORREGIR SOLO UNA LETRA, O QUE HAGAN COMPRAR OTRO VUELO ESTOY INCONFORME ES UN ERROR QUE A CUALQUIERA PUEDE PASAR Y NO POSIBLE  QUIERAN COBRAR POR TODO, NO RECOMIENDO LA AEROLINEA",0
2023-11-02,5,Cargos excevisos,2
2023-11-02,0,Aumentan el precio,0
2023-11-02,8,english translastion,4
2023-10-02,0,son unos buenos para nada,0
2023-10-02,0,en todo,0
